id,key,value,type
8929872,name,Stonebridge,regular
8929872,oneway,no,regular
8929872,smoothness,good,regular
8929872,surface,asphalt,regular
8929872,cfcc,A41,tiger
8929872,county,"Santa Clara, CA",tiger
8929872,name_base,Stonebridge,tiger
8929872,reviewed,no,tiger
8929876,highway,residential,regular
8929876,name,Friar Court,regular
8929876,sidewalk,both,regular
8929876,cfcc,A41,tiger
8929876,county,"Santa Clara, CA",tiger
8929876,name_base,Friar,tiger
8929876,name_type,Ct,tiger
8929876,reviewed,no,tiger
8929920,highway,residential,regular
8929920,name,Millard Lane,regular
8929920,sidewalk,both,regular
8929920,cfcc,A41,tiger
8929920,county,"Santa Clara, CA",tiger
8929920,name_base,Millard,tiger
8929920,name_type,Ln,tiger
8929920,reviewed,no,tiger
8929948,highway,residential,regular
8929948,lanes,2,regular
8929948,name,Cupertino Road,regular
8929948,sidewalk,both,regular
8929948,surface,paved,regular
8930011,highway,residential,regular
8930011,name,La Roda Drive,regular
8930011,sidewalk,both,regular
8930011,cfcc,A41,tiger
8930011,county,"Santa Clara, CA",tiger
8930011,name_base,La Roda,tiger
8930011,name_type,Dr,tiger
8930011,reviewed,no,tiger
8930014,highway,residential,regular
8930014,name,Fallcreek Spring Court,regular
8930014,sidewalk,both,regular
8930014,cfcc,A41,tiger
8930014,county,"Santa Clara, CA",tiger
8930014,name_base,Fallcreek Spring,tiger
8930014,name_type,Ct,tiger
8930014,reviewed,no,tiger
8930018,highway,residential,regular
8930018,name,Alderbrook Lane,regular
8930018,cfcc,A41,tiger
8930018,county,"Santa Clara, CA",tiger
8930018,name_base,Alderbrook,tiger
8930018,name_type,Ln,tiger
8930019,highway,unclassified,regular
8930019,name,Alderbrook Lane,regular
8930019,cfcc,A41,tiger
8930019,county,"Santa Clara, CA",tiger
8930019,name_base,Alderbrook,tiger
8930019,name_type,Ln,tiger
8930022,highway,unclassified,regular
8930022,name,Alderbrook Lane,regular
8930022,cfcc,A41,tiger
8930022,county,"Santa Clara, CA",tiger
8930022,name_base,Alderbrook,tiger
8930022,name_type,Ln,tiger
8930024,highway,residential,regular
8930024,lanes,2,regular
8930024,name,West Hill Lane,regular
8930024,sidewalk,both,regular
8930024,cfcc,A41,tiger
8930024,county,"Santa Clara, CA",tiger
8930024,name_base,West Hill,tiger
8930024,name_type,Ln,tiger
8930131,highway,residential,regular
8930131,lanes,2,regular
8930131,name,Hogue Court,regular
8930131,sidewalk,both,regular
8930131,surface,asphalt,regular
8930131,cfcc,A41,tiger
8930131,county,"Santa Clara, CA",tiger
8930131,name_base,Hogue,tiger
8930131,name_type,Ct,tiger
8930237,highway,residential,regular
8930237,name,Hunter Way,regular
8930237,sidewalk,both,regular
8930237,cfcc,A41,tiger
8930237,county,"Santa Clara, CA",tiger
8930237,name_base,Hunter,tiger
8930237,name_type,Way,tiger
8930237,reviewed,no,tiger
8930308,highway,residential,regular
8930308,lanes,2,regular
8930308,name,Baywood Drive,regular
8930308,sidewalk,both,regular
8930308,surface,asphalt,regular
8930308,cfcc,A41,tiger
8930308,county,"Santa Clara, CA",tiger
8930308,name_base,Baywood,tiger
8930308,name_type,Dr,tiger
8930308,reviewed,no,tiger
8930315,highway,residential,regular
8930315,name,Ralya Court,regular
8930315,sidewalk,both,regular
8930315,cfcc,A41,tiger
8930315,county,"Santa Clara, CA",tiger
8930315,name_base,Ralya,tiger
8930315,name_type,Ct,tiger
8930315,reviewed,no,tiger
8930360,highway,residential,regular
